index,name,isActive,registered,age,gender,eyeColor,favoriteFruit,company.title,company.email,company.phone,company.location.country,company.location.address,tags
0,Aurelia Gonzales,false,2015-02-11T04:22:39+0000,20,female,green,banana,YURTURE,aureliagonzales@yurture.com,+1 (940) 501-3963,USA,694 Hewes Street,"[""enim"",""id"",""velit"",""ad"",""consequat""]"
1,Kitty Snow,false,2018-01-23T04:46:15+0000,38,female,blue,apple,DIGITALUS,kittysnow@digitalus.com,+1 (949) 568-3470,Italy,154 Arlington Avenue,"[""ut"",""voluptate"",""consequat"",""consequat""]"
2,Hays Wise,false,2015-02-23T10:22:15+0000,24,male,green,strawberry,EXIAND,hayswise@exiand.com,+1 (801) 583-3393,France,795 Borinquen Pl,"[""amet"",""ad"",""elit"",""ipsum""]"
3,Karyn Rhodes,true,2014-03-11T03:02:33+0000,39,female,green,strawberry,RODEMCO,karynrhodes@rodemco.com,+1 (801) 505-3760,USA,521 Seigel Street,"[""cillum"",""exercitation"",""excepteur""]"
4,Alison Farmer,false,2018-01-22T10:05:45+0000,33,female,brown,banana,OTHERSIDE,alisonfarmer@otherside.com,+1 (902) 572-3954,Italy,356 Newkirk Placez,"[""deserunt"",""et"",""duis"",""dolor""]"
5,Grace Larson,true,2014-04-20T11:37:23+0000,20,female,blue,apple,OVOLO,gracelarson@ovolo.com,+1 (930) 510-3310,USA,932 Linden Street,"[""fugiat"",""minim""]"
6,Carmella Morse,false,2014-06-08T11:20:22+0000,39,female,green,apple,SHEPARD,carmellamorse@shepard.com,+1 (829) 478-3744,Germany,379 Tabor Court,"[""amet"",""cillum""]"
7,Anastasia Blake,true,2016-07-01T02:32:46+0000,40,female,brown,strawberry,ZERBINA,anastasiablake@zerbina.com,+1 (867) 563-3788,Italy,147 Montague Terrace,"[""Lorem"",""consequat"",""ex"",""pariatur"",""labore""]"
8,Dale Holman,false,2014-07-11T09:08:36+0000,22,male,green,strawberry,ISONUS,daleholman@isonus.com,+1 (871) 452-3036,Italy,586 Blake Court,"[""tempor"",""aliqua"",""duis""]"
9,Tina Barnett,true,2015-03-09T11:16:38+0000,39,female,blue,apple,JETSILK,tinabarnett@jetsilk.com,+1 (963) 569-3905,Germany,514 Lefferts Avenue,"[""veniam"",""proident""]"
10,Belinda Zimmerman,true,2015-11-19T02:18:09+0000,34,female,green,apple,COMTRAK,belindazimmerman@comtrak.com,+1 (899) 410-3073,France,259 Bergen Street,"[""nisi"",""officia"",""nisi""]"
11,Morrison Sheppard,false,2014-07-23T04:46:35+0000,34,male,green,strawberry,CANDECOR,morrisonsheppard@candecor.com,+1 (825) 473-3920,USA,585 Wilson Street,"[""culpa"",""adipisicing"",""veniam"",""aliquip""]"
12,Le Farley,false,2014-11-24T07:41:12+0000,36,male,green,banana,JAMNATION,lefarley@jamnation.com,+1 (962) 402-3088,USA,613 Lewis Avenue,"[""exercitation"",""enim"",""deserunt""]"
13,Sharon Grimes,true,2017-12-22T01:04:16+0000,28,female,brown,banana,PHARMEX,sharongrimes@pharmex.com,+1 (993) 428-2724,USA,427 Dictum Court,"[""dolor"",""eiusmod"",""esse""]"
14,Wendy Sampson,true,2017-03-28T04:46:20+0000,20,female,blue,strawberry,BUGSALL,wendysampson@bugsall.com,+1 (822) 433-3614,France,864 Times Placez,"[""non"",""sunt"",""officia""]"
15,Newman Rodriquez,true,2017-09-19T11:25:18+0000,29,male,green,strawberry,PHARMACON,newmanrodriquez@pharmacon.com,+1 (906) 591-2086,France,624 Madeline Court,"[""ad"",""in""]"
16,Santana Preston,false,2014-05-23T12:41:39+0000,40,male,blue,apple,AQUAFIRE,santanapreston@aquafire.com,+1 (861) 525-2717,France,133 Bushwick Avenue,"[""ex"",""magna"",""qui"",""laborum"",""ad""]"
17,Lupe Barry,false,2014-01-06T02:04:30+0000,25,female,green,strawberry,INVENTURE,lupebarry@inventure.com,+1 (932) 434-2270,USA,244 Cleveland Street,"[""enim"",""deserunt"",""ea"",""mollit"",""commodo""]"
18,Mable Pratt,true,2016-04-22T11:00:05+0000,32,female,blue,banana,PARAGONIA,mablepratt@paragonia.com,+1 (875) 523-3825,USA,767 Hendrix Street,"[""excepteur"",""et"",""ullamco"",""nisi"",""magna""]"
19,Mcguire Vincent,false,2017-01-28T01:53:06+0000,24,male,green,strawberry,ELENTRIX,mcguirevincent@elentrix.com,+1 (924) 572-3321,USA,347 Sandford Street,"[""do"",""aute"",""incididunt""]"
20,Franco Ochoa,false,2016-08-02T04:15:34+0000,35,male,brown,banana,ARTWORLDS,francoochoa@artworlds.com,+1 (922) 487-3093,Italy,838 Kane Place,"[""eiusmod"",""culpa""]"
21,Leila Cervantes,false,2015-04-20T12:59:43+0000,40,female,brown,banana,NEPTIDE,leilacervantes@neptide.com,+1 (982) 508-3965,USA,365 Berriman Street,"[""ad"",""eu"",""ea"",""labore"",""quis""]"
22,Agnes West,true,2014-03-26T01:38:01+0000,39,female,blue,apple,GEEKMOSIS,agneswest@geekmosis.com,+1 (983) 462-2577,Italy,652 Johnson Street,"[""sint"",""sit""]"
23,Bowman Whitaker,true,2014-06-28T04:39:11+0000,21,male,blue,apple,HELIXO,bowmanwhitaker@helixo.com,+1 (992) 530-2197,Italy,878 Erasmus Street,"[""adipisicing"",""in""]"
24,Roseann Conrad,false,2018-02-24T12:39:03+0000,34,female,blue,apple,SNORUS,roseannconrad@snorus.com,+1 (983) 544-2622,Germany,735 Duffield Street,"[""et"",""minim"",""exercitation"",""amet""]"
25,Bryant Thornton,true,2016-07-02T06:12:47+0000,37,male,green,strawberry,ZENCO,bryantthornton@zenco.com,+1 (863) 499-2732,France,744 Poly Place,"[""ut"",""consectetur"",""anim"",""id"",""velit""]"
26,Maldonado Osborne,true,2015-09-10T01:38:41+0000,31,male,brown,strawberry,RECRISYS,maldonadoosborne@recrisys.com,+1 (871) 540-3394,USA,804 Revere Place,"[""elit"",""est"",""ex"",""proident"",""mollit""]"
27,Herman David,true,2018-02-22T12:21:33+0000,33,male,blue,strawberry,LUNCHPAD,hermandavid@lunchpad.com,+1 (946) 447-3775,Italy,230 Anthony Street,"[""adipisicing"",""dolore"",""fugiat"",""exercitation""]"
